Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A040120,ORG_B040120,ORG_C040120,ORG_D040120,ORG_E040120,ORG_F040120,ORG_G040120,ORG_H040120,ORG_I040120,ORG_J040120,ORG_K040120,ORG_L040120,ORG_M040120,ORG_N040120,ORG_O040120,ORG_P040120,ORG_R040120,ORG_S040120,ORG_T040120,ORG_U040120,FIPS_ST_CNTY_CD,Month
48001,Anderson County,"Anderson County, Texas",0,48,1,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,1.73,0,48001,April
48003,Andrews County,"Andrews County, Texas",0,48,3,,,,,,,,,,,,,,,,,,,,,,48003,April
48005,Angelina County,"Angelina County, Texas",0,48,5,,5,0,,,,1,25,0,0,,0,,0,,0,,0.01,0,5.71,0,48005,April
48007,Aransas County,"Aransas County, Texas",0,48,7,,,,,,,,,,,,,,,,,,,,,,48007,April
48009,Archer County,"Archer County, Texas",0,48,9,,,,,,,,,,,,,,,,,,,,,,48009,April
48011,Armstrong County,"Armstrong County, Texas",0,48,11,,,,,,,,,,,,,,,,,,,,,,48011,April
48013,Atascosa County,"Atascosa County, Texas",0,48,13,,2,0,,,,0,0,0,0,0,0,,0,,0,,0,0,4.1,0,48013,April
48015,Austin County,"Austin County, Texas",0,48,15,,2,0,,,,0,0,0,1,100,0,,0,,0,,0.01,0,6.76,0,48015,April
48017,Bailey County,"Bailey County, Texas",0,48,17,,,,,,,,,,,,,,,,,,,,,,48017,April
48019,Bandera County,"Bandera County, Texas",0,48,19,,,,,,,,,,,,,,,,,,,,,,48019,April
48021,Bastrop County,"Bastrop County, Texas",0,48,21,,8,0,,,,2,33.33,0,7,700,0,,0,,0,,0.01,0,9.69,0,48021,April
48023,Baylor County,"Baylor County, Texas",0,48,23,,,,,,,,,,,,,,,,,,,,,,48023,April
48025,Bee County,"Bee County, Texas",0,48,25,,,,,,,,,,,,,,,,,,,,,,48025,April
48027,Bell County,"Bell County, Texas",0,48,27,,44,1,,,,8,22.22,0,26,144.44,0,,1,,0,,0.01,0,12.86,0.29,48027,April
48029,Bexar County,"Bexar County, Texas",0,48,29,,229,9,,,,22,10.63,0,160,231.88,218,1981.82,8,800,9,,0.01,0,11.89,0.47,48029,April
48031,Blanco County,"Blanco County, Texas",0,48,31,,1,0,,,,0,0,0,0,0,0,,0,,0,,0.01,0,8.87,0,48031,April
48033,Borden County,"Borden County, Texas",0,48,33,,,,,,,,,,,,,,,,,,,,,,48033,April
48035,Bosque County,"Bosque County, Texas",0,48,35,,,,,,,,,,,,,,,,,,,,,,48035,April
48037,Bowie County,"Bowie County, Texas",0,48,37,,9,0,,,,0,0,0,8,800,0,,0,,0,,0.01,0,9.59,0,48037,April
48039,Brazoria County,"Brazoria County, Texas",0,48,39,,95,1,,,,0,0,0,76,400,0,,1,,0,,0.03,0,26.84,0.28,48039,April
48041,Brazos County,"Brazos County, Texas",0,48,41,,63,3,,,,17,36.96,50,47,293.75,0,,3,,0,,0.03,0,28.74,1.37,48041,April
48043,Brewster County,"Brewster County, Texas",0,48,43,,,,,,,,,,,,,,,,,,,,,,48043,April
48045,Briscoe County,"Briscoe County, Texas",0,48,45,,,,,,,,,,,,,,,,,,,,,,48045,April
48047,Brooks County,"Brooks County, Texas",0,48,47,,,,,,,,,,,,,,,,,,,,,,48047,April
48049,Brown County,"Brown County, Texas",0,48,49,,3,0,,,,0,0,0,1,50,0,,0,,0,,0.01,0,7.93,0,48049,April
48051,Burleson County,"Burleson County, Texas",0,48,51,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,5.6,0,48051,April
48053,Burnet County,"Burnet County, Texas",0,48,53,,3,0,,,,1,50,0,2,200,0,,0,,0,,0.01,0,6.56,0,48053,April
48055,Caldwell County,"Caldwell County, Texas",0,48,55,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,2.42,0,48055,April
48057,Calhoun County,"Calhoun County, Texas",0,48,57,,7,0,,,,4,133.33,0,0,,0,,0,,0,,0.03,0,32.1,0,48057,April
48059,Callahan County,"Callahan County, Texas",0,48,59,,,,,,,,,,,,,,,,,,,,,,48059,April
48061,Cameron County,"Cameron County, Texas",0,48,61,,26,0,,,,0,0,0,20,333.33,0,,0,,0,,0.01,0,6.16,0,48061,April
48063,Camp County,"Camp County, Texas",0,48,63,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,7.8,0,48063,April
48065,Carson County,"Carson County, Texas",0,48,65,,,,,,,,,,,,,,,,,,,,,,48065,April
48067,Cass County,"Cass County, Texas",0,48,67,,3,0,,,,1,50,0,2,200,0,,0,,0,,0.01,0,9.97,0,48067,April
48069,Castro County,"Castro County, Texas",0,48,69,,8,0,,,,0,0,0,5,166.67,0,,0,,0,,0.1,0,102.74,0,48069,April
48071,Chambers County,"Chambers County, Texas",0,48,71,,9,0,,,,1,12.5,0,7,350,0,,0,,0,,0.02,0,22.34,0,48071,April
48073,Cherokee County,"Cherokee County, Texas",0,48,73,,4,0,,,,2,100,0,0,,0,,0,,0,,0.01,0,7.71,0,48073,April
48075,Childress County,"Childress County, Texas",0,48,75,,,,,,,,,,,,,,,,,,,,,,48075,April
48077,Clay County,"Clay County, Texas",0,48,77,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,9.63,0,48077,April
48079,Cochran County,"Cochran County, Texas",0,48,79,,,,,,,,,,,,,,,,,,,,,,48079,April
48081,Coke County,"Coke County, Texas",0,48,81,,,,,,,,,,,,,,,,,,,,,,48081,April
48083,Coleman County,"Coleman County, Texas",0,48,83,,,,,,,,,,,,,,,,,,,,,,48083,April
48085,Collin County,"Collin County, Texas",0,48,85,,184,1,,,,24,15,0,118,178.79,0,,0,0,0,,0.02,0,19.48,0.11,48085,April
48087,Collingsworth County,"Collingsworth County, Texas",0,48,87,,,,,,,,,,,,,,,,,,,,,,48087,April
48089,Colorado County,"Colorado County, Texas",0,48,89,,2,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,9.51,0,48089,April
48091,Comal County,"Comal County, Texas",0,48,91,,12,2,,,,1,9.09,0,7,140,0,,2,,0,,0.01,0,8.88,1.48,48091,April
48093,Comanche County,"Comanche County, Texas",0,48,93,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,7.41,0,48093,April
48095,Concho County,"Concho County, Texas",0,48,95,,,,,,,,,,,,,,,,,,,,,,48095,April
48097,Cooke County,"Cooke County, Texas",0,48,97,,,,,,,,,,,,,,,,,,,,,,48097,April
48099,Coryell County,"Coryell County, Texas",0,48,99,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,1.33,0,48099,April
48101,Cottle County,"Cottle County, Texas",0,48,101,,,,,,,,,,,,,,,,,,,,,,48101,April
48103,Crane County,"Crane County, Texas",0,48,103,,2,0,,,,1,100,0,1,100,0,,0,,0,,0.04,0,41.33,0,48103,April
48105,Crockett County,"Crockett County, Texas",0,48,105,,,,,,,,,,,,,,,,,,,,,,48105,April
48107,Crosby County,"Crosby County, Texas",0,48,107,,,,,,,,,,,,,,,,,,,,,,48107,April
48109,Culberson County,"Culberson County, Texas",0,48,109,,,,,,,,,,,,,,,,,,,,,,48109,April
48111,Dallam County,"Dallam County, Texas",0,48,111,,,,,,,,,,,,,,,,,,,,,,48111,April
48113,Dallas County,"Dallas County, Texas",0,48,113,,731,15,,,,100,15.85,15.38,562,332.54,0,,9,150,0,,0.03,0,28.26,0.58,48113,April
48115,Dawson County,"Dawson County, Texas",0,48,115,,3,0,,,,0,0,0,0,,0,,0,,0,,0.02,0,23.14,0,48115,April
48117,Deaf Smith County,"Deaf Smith County, Texas",0,48,117,,2,0,,,,0,0,0,0,0,0,,0,,0,,0.01,0,10.58,0,48117,April
48119,Delta County,"Delta County, Texas",0,48,119,,,,,,,,,,,,,,,,,,,,,,48119,April
48121,Denton County,"Denton County, Texas",0,48,121,,231,4,,,,25,12.14,0,161,230,0,,4,,0,,0.03,0,28.62,0.5,48121,April
48123,DeWitt County,"DeWitt County, Texas",0,48,123,,4,0,,,,1,33.33,0,3,300,0,,0,,0,,0.02,0,19.57,0,48123,April
48125,Dickens County,"Dickens County, Texas",0,48,125,,,,,,,,,,,,,,,,,,,,,,48125,April
48127,Dimmit County,"Dimmit County, Texas",0,48,127,,,,,,,,,,,,,,,,,,,,,,48127,April
48129,Donley County,"Donley County, Texas",0,48,129,,,,,,,,,,,,,,,,,,,,,,48129,April
48131,Duval County,"Duval County, Texas",0,48,131,,,,,,,,,,,,,,,,,,,,,,48131,April
48133,Eastland County,"Eastland County, Texas",0,48,133,,3,0,,,,0,0,0,1,50,0,,0,,0,,0.02,0,16.42,0,48133,April
48135,Ector County,"Ector County, Texas",0,48,135,,11,0,,,,4,57.14,0,0,,0,,0,,0,,0.01,0,6.95,0,48135,April
48137,Edwards County,"Edwards County, Texas",0,48,137,,,,,,,,,,,,,,,,,,,,,,48137,April
48139,Ellis County,"Ellis County, Texas",0,48,139,,20,1,,,,4,25,0,14,233.33,0,,1,,0,,0.01,0,11.85,0.59,48139,April
48141,El Paso County,"El Paso County, Texas",0,48,141,,50,0,,,,0,0,0,38,316.67,0,,0,,0,,0.01,0,5.97,0,48141,April
48143,Erath County,"Erath County, Texas",0,48,143,,2,0,,,,1,100,0,1,100,0,,0,,0,,0,0,4.82,0,48143,April
48145,Falls County,"Falls County, Texas",0,48,145,,1,0,,,,0,0,0,0,0,0,,0,,0,,0.01,0,5.78,0,48145,April
48147,Fannin County,"Fannin County, Texas",0,48,147,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,2.93,0,48147,April
48149,Fayette County,"Fayette County, Texas",0,48,149,,4,0,,,,2,100,0,3,300,0,,0,,0,,0.02,0,15.96,0,48149,April
48151,Fisher County,"Fisher County, Texas",0,48,151,,,,,,,,,,,,,,,,,,,,,,48151,April
48153,Floyd County,"Floyd County, Texas",0,48,153,,,,,,,,,,,,,,,,,,,,,,48153,April
48155,Foard County,"Foard County, Texas",0,48,155,,,,,,,,,,,,,,,,,,,,,,48155,April
48157,Fort Bend County,"Fort Bend County, Texas",0,48,157,,163,2,,,,25,18.12,0,109,201.85,0,,2,,0,,0.02,0,22.05,0.27,48157,April
48159,Franklin County,"Franklin County, Texas",0,48,159,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,9.36,0,48159,April
48161,Freestone County,"Freestone County, Texas",0,48,161,,,,,,,,,,,,,,,,,,,,,,48161,April
48163,Frio County,"Frio County, Texas",0,48,163,,,,,,,,,,,,,,,,,,,,,,48163,April
48165,Gaines County,"Gaines County, Texas",0,48,165,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,4.92,0,48165,April
48167,Galveston County,"Galveston County, Texas",0,48,167,,118,0,,,,12,11.32,0,96,436.36,0,,0,,0,,0.04,0,36.08,0,48167,April
48169,Garza County,"Garza County, Texas",0,48,169,,,,,,,,,,,,,,,,,,,,,,48169,April
48171,Gillespie County,"Gillespie County, Texas",0,48,171,,,,,,,,,,,,,,,,,,,,,,48171,April
48173,Glasscock County,"Glasscock County, Texas",0,48,173,,,,,,,,,,,,,,,,,,,,,,48173,April
48175,Goliad County,"Goliad County, Texas",0,48,175,,,,,,,,,,,,,,,,,,,,,,48175,April
48177,Gonzales County,"Gonzales County, Texas",0,48,177,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,4.84,0,48177,April
48179,Gray County,"Gray County, Texas",0,48,179,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,4.41,0,48179,April
48181,Grayson County,"Grayson County, Texas",0,48,181,,8,0,,,,1,14.29,0,6,300,0,,0,,0,,0.01,0,6.22,0,48181,April
48183,Gregg County,"Gregg County, Texas",0,48,183,,6,0,,,,1,20,0,5,500,0,,0,,0,,0,0,4.86,0,48183,April
48185,Grimes County,"Grimes County, Texas",0,48,185,,3,0,,,,0,0,0,1,50,0,,0,,0,,0.01,0,10.86,0,48185,April
48187,Guadalupe County,"Guadalupe County, Texas",0,48,187,,17,0,,,,2,13.33,0,13,325,0,,0,,0,,0.01,0,10.96,0,48187,April
48189,Hale County,"Hale County, Texas",0,48,189,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,2.93,0,48189,April
48191,Hall County,"Hall County, Texas",0,48,191,,,,,,,,,,,,,,,,,,,,,,48191,April
48193,Hamilton County,"Hamilton County, Texas",0,48,193,,,,,,,,,,,,,,,,,,,,,,48193,April
48195,Hansford County,"Hansford County, Texas",0,48,195,,,,,,,,,,,,,,,,,,,,,,48195,April
48197,Hardeman County,"Hardeman County, Texas",0,48,197,,,,,,,,,,,,,,,,,,,,,,48197,April
48199,Hardin County,"Hardin County, Texas",0,48,199,,13,1,,,,1,8.33,0,11,550,0,,1,,0,,0.02,0,23.06,1.77,48199,April
48201,Harris County,"Harris County, Texas",0,48,201,,847,6,,,,167,24.56,0,662,357.84,0,,5,500,0,,0.02,0,18.4,0.13,48201,April
48203,Harrison County,"Harrison County, Texas",0,48,203,,3,0,,,,2,200,0,0,,0,,0,,0,,0,0,4.5,0,48203,April
48205,Hartley County,"Hartley County, Texas",0,48,205,,,,,,,,,,,,,,,,,,,,,,48205,April
48207,Haskell County,"Haskell County, Texas",0,48,207,,,,,,,,,,,,,,,,,,,,,,48207,April
48209,Hays County,"Hays County, Texas",0,48,209,,38,0,,,,14,58.33,0,31,442.86,0,,0,,0,,0.02,0,18.61,0,48209,April
48211,Hemphill County,"Hemphill County, Texas",0,48,211,,,,,,,,,,,,,,,,,,,,,,48211,April
48213,Henderson County,"Henderson County, Texas",0,48,213,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,1.24,0,48213,April
48215,Hidalgo County,"Hidalgo County, Texas",0,48,215,,46,0,,,,8,21.05,0,44,2200,0,,0,,0,,0.01,0,5.42,0,48215,April
48217,Hill County,"Hill County, Texas",0,48,217,,2,0,,,,1,100,0,0,,0,,0,,0,,0.01,0,5.65,0,48217,April
48219,Hockley County,"Hockley County, Texas",0,48,219,,7,0,,,,0,0,0,4,133.33,0,,0,,0,,0.03,0,30.22,0,48219,April
48221,Hood County,"Hood County, Texas",0,48,221,,6,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,10.54,0,48221,April
48223,Hopkins County,"Hopkins County, Texas",0,48,223,,3,0,,,,0,0,0,2,200,0,,0,,0,,0.01,0,8.28,0,48223,April
48225,Houston County,"Houston County, Texas",0,48,225,,,,,,,,,,,,,,,,,,,,,,48225,April
48227,Howard County,"Howard County, Texas",0,48,227,,,,,,,,,,,,,,,,,,,,,,48227,April
48229,Hudspeth County,"Hudspeth County, Texas",0,48,229,,,,,,,,,,,,,,,,,,,,,,48229,April
48231,Hunt County,"Hunt County, Texas",0,48,231,,4,0,,,,0,0,0,3,300,0,,0,,0,,0,0,4.34,0,48231,April
48233,Hutchinson County,"Hutchinson County, Texas",0,48,233,,,,,,,,,,,,,,,,,,,,,,48233,April
48235,Irion County,"Irion County, Texas",0,48,235,,,,,,,,,,,,,,,,,,,,,,48235,April
48237,Jack County,"Jack County, Texas",0,48,237,,,,,,,,,,,,,,,,,,,,,,48237,April
48239,Jackson County,"Jackson County, Texas",0,48,239,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,6.75,0,48239,April
48241,Jasper County,"Jasper County, Texas",0,48,241,,,,,,,,,,,,,,,,,,,,,,48241,April
48243,Jeff Davis County,"Jeff Davis County, Texas",0,48,243,,,,,,,,,,,,,,,,,,,,,,48243,April
48245,Jefferson County,"Jefferson County, Texas",0,48,245,,27,0,,,,9,50,0,20,285.71,0,,0,,0,,0.01,0,10.58,0,48245,April
48247,Jim Hogg County,"Jim Hogg County, Texas",0,48,247,,,,,,,,,,,,,,,,,,,,,,48247,April
48249,Jim Wells County,"Jim Wells County, Texas",0,48,249,,,,,,,,,,,,,,,,,,,,,,48249,April
48251,Johnson County,"Johnson County, Texas",0,48,251,,12,0,,,,4,50,0,9,300,0,,0,,0,,0.01,0,7.34,0,48251,April
